Comune,ISTAT,Aggiornamento,Quarantena,Positivi,Guariti,Morti,Data,Popolazione
Aiello del Friuli,30001,2020-03-29,1,0,0,0,2020-03-31,2272
Aiello del Friuli,30001,2020-03-29,1,0,0,0,2020-04-01,2272
Aiello del Friuli,30001,2020-03-29,1,0,0,0,2020-04-02,2272
Aiello del Friuli,30001,2020-03-29,1,0,0,0,2020-04-03,2272
Aiello del Friuli,30001,2020-03-29,1,0,0,0,2020-04-04,2272
Aiello del Friuli,30001,2020-03-29,1,0,0,0,2020-04-05,2272
Aiello del Friuli,30001,2020-04-06,2,0,0,0,2020-04-06,2272
Aiello del Friuli,30001,2020-04-06,2,0,0,0,2020-04-07,2272
Aiello del Friuli,30001,2020-04-08,2,0,0,0,2020-04-08,2272
Aiello del Friuli,30001,2020-04-09,2,0,0,0,2020-04-09,2272
Aiello del Friuli,30001,2020-04-10,2,0,0,0,2020-04-10,2272
Aiello del Friuli,30001,2020-04-11,0,0,0,0,2020-04-11,2272
Aiello del Friuli,30001,2020-04-12,1,0,0,0,2020-04-12,2272
Aiello del Friuli,30001,2020-04-12,1,0,0,0,2020-04-13,2272
Aiello del Friuli,30001,2020-04-12,1,0,0,0,2020-04-14,2272
Aiello del Friuli,30001,2020-04-12,1,0,0,0,2020-04-15,2272
Aiello del Friuli,30001,2020-04-16,1,0,0,0,2020-04-16,2272
Aiello del Friuli,30001,2020-04-16,1,0,0,0,2020-04-17,2272
Aiello del Friuli,30001,2020-04-18,1,0,0,0,2020-04-18,2272
Aiello del Friuli,30001,2020-04-18,1,0,0,0,2020-04-19,2272
Aiello del Friuli,30001,2020-04-20,1,0,0,0,2020-04-20,2272
Aiello del Friuli,30001,2020-04-21,1,0,0,0,2020-04-21,2272
Aiello del Friuli,30001,2020-04-22,1,0,0,0,2020-04-22,2272
Aiello del Friuli,30001,2020-04-23,3,1,0,0,2020-04-23,2272
Aiello del Friuli,30001,2020-04-24,3,1,0,0,2020-04-24,2272
Aiello del Friuli,30001,2020-04-25,3,1,0,0,2020-04-25,2272
Aiello del Friuli,30001,2020-04-25,3,1,0,0,2020-04-26,2272
Aiello del Friuli,30001,2020-04-27,2,1,0,0,2020-04-27,2272
Aiello del Friuli,30001,2020-04-28,2,1,0,0,2020-04-28,2272
Aiello del Friuli,30001,2020-04-29,2,1,0,0,2020-04-29,2272
Aiello del Friuli,30001,2020-04-30,3,1,0,0,2020-04-30,2272
Aiello del Friuli,30001,2020-04-30,3,1,0,0,2020-05-01,2272
Aiello del Friuli,30001,2020-04-30,3,1,0,0,2020-05-02,2272
Aiello del Friuli,30001,2020-04-30,3,1,0,0,2020-05-03,2272
Aiello del Friuli,30001,2020-05-04,4,1,0,0,2020-05-04,2272
Aiello del Friuli,30001,2020-05-05,4,1,0,0,2020-05-05,2272
Aiello del Friuli,30001,2020-05-06,4,0,1,0,2020-05-06,2272
Aiello del Friuli,30001,2020-05-07,2,0,1,0,2020-05-07,2272
Aiello del Friuli,30001,2020-05-07,2,0,1,0,2020-05-08,2272
Aiello del Friuli,30001,2020-05-07,2,0,1,0,2020-05-09,2272
Aiello del Friuli,30001,2020-05-07,2,0,1,0,2020-05-10,2272
Aiello del Friuli,30001,2020-05-11,1,0,1,0,2020-05-11,2272
Aiello del Friuli,30001,2020-05-11,1,0,1,0,2020-05-12,2272
Aiello del Friuli,30001,2020-05-11,1,0,1,0,2020-05-13,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-14,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-15,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-16,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-17,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-18,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-19,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-20,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-21,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-22,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-23,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-24,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-25,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-26,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-27,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-28,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-29,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-30,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-05-31,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-01,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-02,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-03,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-04,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-05,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-06,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-07,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-08,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-09,2272
Aiello del Friuli,30001,2020-05-14,0,0,1,0,2020-06-10,2272
Aiello del Friuli,30001,2020-06-11,0,0,1,0,2020-06-11,2272
Aiello del Friuli,30001,2020-06-11,0,0,1,0,2020-06-12,2272
Aiello del Friuli,30001,2020-06-11,0,0,1,0,2020-06-13,2272
Aiello del Friuli,30001,2020-06-11,0,0,1,0,2020-06-14,2272
Aiello del Friuli,30001,2020-06-11,0,0,1,0,2020-06-15,2272
