data,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,casi_testati_giornaliero,tamponi_giornaliero,tamponi_molecolare_giornaliero,tamponi_rapido_giornaliero,positivi_molecolare_giornaliero,positivi_rapido_giornaliero,Tasso_positivi,tasso_positivi_molecolare,tasso_positivi_rapido,nuovi_positivi_media_mobile,deceduti_giornalieri
2020-02-24,0,0,0,0,0,0,0,0,0,NA,NA,0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2020-02-25,0,0,0,0,0,0,0,0,0,NA,NA,0,89,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,0,NA,NA,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,NA,NA,0,114,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,0,NA,NA,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,NA,NA,0,141,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,0,NA,NA,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,NA,NA,0,169,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,0,NA,NA,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,NA,NA,0,189,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,0,NA,NA,0,0
2020-03-01,0,0,0,6,6,6,6,0,0,NA,NA,6,243,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,11.11,NA,NA,1,0
2020-03-02,0,0,0,9,9,3,3,0,0,NA,NA,9,269,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,11.54,NA,NA,1,0
2020-03-03,1,0,1,12,13,4,4,0,0,NA,NA,13,354,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,4.71,NA,NA,2,0
2020-03-04,3,0,3,15,18,5,5,0,0,NA,NA,18,376,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,22.73,NA,NA,3,0
2020-03-05,4,0,4,17,21,3,3,0,0,NA,NA,21,397,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,14.29,NA,NA,3,0
2020-03-06,4,0,4,24,28,7,10,3,0,NA,NA,31,577,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,5.56,NA,NA,4,0
2020-03-07,7,1,8,31,39,11,11,3,0,NA,NA,42,577,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Inf,NA,NA,6,0
2020-03-08,7,1,8,45,53,14,15,3,1,NA,NA,57,997,NA,NA,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,3.57,NA,NA,7,1
2020-03-09,18,1,19,70,89,36,36,3,1,NA,NA,93,1344,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,10.37,NA,NA,12,0
2020-03-10,27,6,33,77,110,21,23,3,3,NA,NA,116,1602,NA,NA,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,8.91,NA,NA,15,2
2020-03-11,16,5,21,89,110,0,10,10,6,NA,NA,126,2073,NA,NA,NA,NA,NA,NA,NA,471,NA,NA,NA,NA,2.12,NA,NA,15,3
