data,codice_provincia,denominazione_provincia,sigla_provincia,totale_casi,casi_giornalieri,nuovi_positivi_media_mobile
2020-02-24,30,Udine,UD,0,NA,0
2020-02-24,31,Gorizia,GO,0,NA,0
2020-02-24,32,Trieste,TS,0,NA,0
2020-02-24,93,Pordenone,PN,0,NA,0
2020-02-25,30,Udine,UD,0,0,0
2020-02-25,31,Gorizia,GO,0,0,0
2020-02-25,32,Trieste,TS,0,0,0
2020-02-25,93,Pordenone,PN,0,0,0
2020-02-26,30,Udine,UD,0,0,0
2020-02-26,31,Gorizia,GO,0,0,0
2020-02-26,32,Trieste,TS,0,0,0
2020-02-26,93,Pordenone,PN,0,0,0
2020-02-27,30,Udine,UD,0,0,0
2020-02-27,31,Gorizia,GO,0,0,0
2020-02-27,32,Trieste,TS,0,0,0
2020-02-27,93,Pordenone,PN,0,0,0
2020-02-28,30,Udine,UD,0,0,0
2020-02-28,31,Gorizia,GO,0,0,0
2020-02-28,32,Trieste,TS,0,0,0
2020-02-28,93,Pordenone,PN,0,0,0
2020-02-29,30,Udine,UD,0,0,0
2020-02-29,31,Gorizia,GO,0,0,0
2020-02-29,32,Trieste,TS,0,0,0
2020-02-29,93,Pordenone,PN,0,0,0
2020-03-01,30,Udine,UD,0,0,NA
2020-03-01,31,Gorizia,GO,0,0,NA
2020-03-01,32,Trieste,TS,6,6,NA
2020-03-01,93,Pordenone,PN,0,0,NA
2020-03-02,30,Udine,UD,0,0,0
2020-03-02,31,Gorizia,GO,0,0,0
2020-03-02,32,Trieste,TS,9,3,1
2020-03-02,93,Pordenone,PN,0,0,0
2020-03-03,30,Udine,UD,8,8,1
2020-03-03,31,Gorizia,GO,3,3,0
2020-03-03,32,Trieste,TS,2,-7,0
2020-03-03,93,Pordenone,PN,0,0,0
2020-03-04,30,Udine,UD,8,0,1
2020-03-04,31,Gorizia,GO,5,2,1
2020-03-04,32,Trieste,TS,5,3,1
2020-03-04,93,Pordenone,PN,0,0,0
2020-03-05,30,Udine,UD,11,3,2
2020-03-05,31,Gorizia,GO,5,0,1
2020-03-05,32,Trieste,TS,5,0,1
2020-03-05,93,Pordenone,PN,0,0,0
2020-03-06,30,Udine,UD,18,7,3
2020-03-06,31,Gorizia,GO,6,1,1
2020-03-06,32,Trieste,TS,7,2,1
2020-03-06,93,Pordenone,PN,0,0,0
2020-03-07,30,Udine,UD,23,5,3
2020-03-07,31,Gorizia,GO,6,0,1
2020-03-07,32,Trieste,TS,11,4,2
2020-03-07,93,Pordenone,PN,2,2,0
2020-03-08,30,Udine,UD,24,1,3
2020-03-08,31,Gorizia,GO,6,0,1
2020-03-08,32,Trieste,TS,25,14,3
2020-03-08,93,Pordenone,PN,2,0,0
2020-03-09,30,Udine,UD,24,0,3
2020-03-09,31,Gorizia,GO,6,0,1
2020-03-09,32,Trieste,TS,25,0,2
2020-03-09,93,Pordenone,PN,2,0,0
2020-03-10,30,Udine,UD,26,2,3
2020-03-10,31,Gorizia,GO,10,4,1
2020-03-10,32,Trieste,TS,53,28,7
2020-03-10,93,Pordenone,PN,4,2,1
2020-03-11,30,Udine,UD,44,18,5
2020-03-11,31,Gorizia,GO,12,2,1
2020-03-11,32,Trieste,TS,57,4,7
2020-03-11,93,Pordenone,PN,13,9,2
2020-03-12,30,Udine,UD,44,0,5
2020-03-12,31,Gorizia,GO,12,0,1
2020-03-12,32,Trieste,TS,57,0,7
2020-03-12,93,Pordenone,PN,13,0,2
2020-03-13,30,Udine,UD,75,31,8
2020-03-13,31,Gorizia,GO,20,8,2
2020-03-13,32,Trieste,TS,131,74,18
2020-03-13,93,Pordenone,PN,31,18,4
2020-03-14,30,Udine,UD,88,13,9
2020-03-14,31,Gorizia,GO,20,0,2
2020-03-14,32,Trieste,TS,148,17,20
2020-03-14,93,Pordenone,PN,45,14,6
2020-03-15,30,Udine,UD,129,41,15
2020-03-15,31,Gorizia,GO,31,11,4
2020-03-15,32,Trieste,TS,140,-8,16
2020-03-15,93,Pordenone,PN,42,-3,6
2020-03-16,30,Udine,UD,152,23,18
2020-03-16,31,Gorizia,GO,16,-15,1
2020-03-16,32,Trieste,TS,164,24,20
2020-03-16,93,Pordenone,PN,54,12,7
2020-03-17,30,Udine,UD,145,-7,17
2020-03-17,31,Gorizia,GO,18,2,1
2020-03-17,32,Trieste,TS,177,13,18
2020-03-17,93,Pordenone,PN,54,0,7
2020-03-18,30,Udine,UD,181,36,20
2020-03-18,31,Gorizia,GO,25,7,2
2020-03-18,32,Trieste,TS,180,3,18
2020-03-18,93,Pordenone,PN,76,22,9
2020-03-19,30,Udine,UD,266,85,32
2020-03-19,31,Gorizia,GO,28,3,2
2020-03-19,32,Trieste,TS,208,28,22
2020-03-19,93,Pordenone,PN,97,21,12
2020-03-20,30,Udine,UD,296,30,32
2020-03-20,31,Gorizia,GO,30,2,1
2020-03-20,32,Trieste,TS,216,8,12
2020-03-20,93,Pordenone,PN,114,17,12
2020-03-21,30,Udine,UD,338,42,36
2020-03-21,31,Gorizia,GO,38,8,3
