data,Udine,Udine_mediamobile,Pordenone,Pordenone_mediamobile,Trieste,Trieste_mediamobile,Gorizia,Gorizia_mediamobile
2021-02-23,140,166,52,39,32,37,14,28
2021-02-24,316,183,62,38,68,41,54,31
2021-02-25,519,235,47,41,55,43,58,35
2021-02-26,273,249,61,43,72,47,59,37
2021-02-27,302,260,68,46,47,49,49,40
2021-02-28,204,266,41,48,37,48,53,43
2021-03-01,92,264,6,48,31,49,41,47
2021-03-02,364,296,67,50,18,47,26,49
2021-03-03,451,315,46,48,100,51,95,54
2021-03-04,399,298,75,52,72,54,94,60
2021-03-05,524,334,64,52,96,57,129,70
2021-03-06,425,351,66,52,94,64,72,73
2021-03-07,245,357,67,56,80,70,69,75
2021-03-08,286,385,10,56,50,73,62,78
2021-03-09,401,390,81,58,35,75,78,86
2021-03-10,490,396,83,64,172,86,110,88
2021-03-11,601,425,119,70,116,92,147,95
2021-03-12,582,433,90,74,146,99,152,99
2021-03-13,622,461,79,76,130,104,115,105
2021-03-14,331,473,75,77,95,106,94,108
2021-03-15,171,457,27,79,108,115,89,112
2021-03-16,466,466,143,88,34,114,22,104
2021-03-17,532,472,121,93,185,116,133,107
2021-03-18,585,470,106,92,218,131,143,107
2021-03-19,501,458,114,95,159,133,131,104
2021-03-20,536,446,91,97,155,136,117,104
2021-03-21,304,442,72,96,146,144,54,98
2021-03-22,176,443,25,96,121,145,76,97
2021-03-23,315,421,105,91,83,152,41,99
2021-03-24,361,397,88,86,169,150,127,98
2021-03-25,410,372,106,86,197,147,117,95
